match_id,match_date,stage,home_team,away_team,home_goals,away_goals,target,home_country,away_country
524055,2024-10-22 19:00:00+00:00,LEAGUE_STAGE,Girona FC,ŠK Slovan Bratislava,2,0,2,Spain,Slovakia
524070,2024-10-22 19:00:00+00:00,LEAGUE_STAGE,SK Sturm Graz,Sporting Clube de Portugal,0,2,0,Austria,Portugal
523958,2024-10-22 19:00:00+00:00,LEAGUE_STAGE,Paris Saint-Germain FC,PSV,1,1,1,France,Netherlands
523964,2024-10-22 19:00:00+00:00,LEAGUE_STAGE,Real Madrid CF,Borussia Dortmund,5,2,2,Spain,Germany
523993,2024-10-22 19:00:00+00:00,LEAGUE_STAGE,Arsenal FC,FK Shakhtar Donetsk,1,0,2,England,Ukraine
523999,2024-10-22 19:00:00+00:00,LEAGUE_STAGE,Juventus FC,VfB Stuttgart,0,1,0,Italy,Germany
524047,2024-10-22 19:00:00+00:00,LEAGUE_STAGE,Aston Villa FC,Bologna FC 1909,2,0,2,England,Italy
524065,2024-10-23 16:45:00+00:00,LEAGUE_STAGE,Stade Brestois 29,Bayer 04 Leverkusen,1,1,1,France,Germany
523974,2024-10-23 16:45:00+00:00,LEAGUE_STAGE,Atalanta BC,Celtic FC,0,0,1,Italy,Scotland
523955,2024-10-23 19:00:00+00:00,LEAGUE_STAGE,Manchester City FC,AC Sparta Praha,5,0,2,England,Czech Republic
523960,2024-10-23 19:00:00+00:00,LEAGUE_STAGE,RB Leipzig,Liverpool FC,0,1,0,Germany,England
523978,2024-10-23 19:00:00+00:00,LEAGUE_STAGE,Club Atlético de Madrid,Lille OSC,1,3,0,Spain,France
523986,2024-10-23 19:00:00+00:00,LEAGUE_STAGE,Sport Lisboa e Benfica,Feyenoord Rotterdam,1,3,0,Portugal,Netherlands
524026,2024-10-23 19:00:00+00:00,LEAGUE_STAGE,FC Red Bull Salzburg,GNK Dinamo Zagreb,0,2,0,Austria,Croatia
524036,2024-10-23 19:00:00+00:00,LEAGUE_STAGE,BSC Young Boys,FC Internazionale Milano,0,1,0,Switzerland,Italy
523940,2024-10-23 19:00:00+00:00,LEAGUE_STAGE,FC Barcelona,FC Bayern München,4,1,2,Spain,Germany
524058,2024-11-05 17:45:00+00:00,LEAGUE_STAGE,ŠK Slovan Bratislava,GNK Dinamo Zagreb,1,4,0,Slovakia,Croatia
524023,2024-11-05 17:45:00+00:00,LEAGUE_STAGE,PSV,Girona FC,4,0,2,Netherlands,Spain
523965,2024-11-05 20:00:00+00:00,LEAGUE_STAGE,Real Madrid CF,AC Milan,1,3,0,Spain,Italy
524004,2024-11-05 20:00:00+00:00,LEAGUE_STAGE,Celtic FC,RB Leipzig,3,1,2,Scotland,Germany
524051,2024-11-05 20:00:00+00:00,LEAGUE_STAGE,Bologna FC 1909,AS Monaco FC,0,1,0,Italy,Monaco
524032,2024-11-05 20:00:00+00:00,LEAGUE_STAGE,Sporting Clube de Portugal,Manchester City FC,4,1,2,Portugal,England
524017,2024-11-05 20:00:00+00:00,LEAGUE_STAGE,Lille OSC,Juventus FC,1,1,1,France,Italy
523945,2024-11-05 20:00:00+00:00,LEAGUE_STAGE,Liverpool FC,Bayer 04 Leverkusen,4,0,2,England,Germany
523939,2024-11-05 20:00:00+00:00,LEAGUE_STAGE,Borussia Dortmund,SK Sturm Graz,1,0,2,Germany,Austria
524002,2024-11-06 17:45:00+00:00,LEAGUE_STAGE,FK Shakhtar Donetsk,BSC Young Boys,2,1,2,Ukraine,Switzerland
523991,2024-11-06 17:45:00+00:00,LEAGUE_STAGE,Club Brugge KV,Aston Villa FC,1,0,2,Belgium,England
524063,2024-11-06 20:00:00+00:00,LEAGUE_STAGE,AC Sparta Praha,Stade Brestois 29,1,2,0,Czech Republic,France
524073,2024-11-06 20:00:00+00:00,LEAGUE_STAGE,VfB Stuttgart,Atalanta BC,0,2,0,Germany,Italy
523949,2024-11-06 20:00:00+00:00,LEAGUE_STAGE,FC Internazionale Milano,Arsenal FC,1,0,2,Italy,England
523957,2024-11-06 20:00:00+00:00,LEAGUE_STAGE,Paris Saint-Germain FC,Club Atlético de Madrid,1,2,0,France,Spain
524014,2024-11-06 20:00:00+00:00,LEAGUE_STAGE,Feyenoord Rotterdam,FC Red Bull Salzburg,1,3,0,Netherlands,Austria
524028,2024-11-06 20:00:00+00:00,LEAGUE_STAGE,FK Crvena Zvezda,FC Barcelona,2,5,0,Serbia,Spain
523933,2024-11-06 20:15:00+00:00,LEAGUE_STAGE,FC Bayern München,Sport Lisboa e Benfica,1,0,2,Germany,Portugal
524061,2024-11-26 17:45:00+00:00,LEAGUE_STAGE,AC Sparta Praha,Club Atlético de Madrid,0,6,0,Czech Republic,Spain
524057,2024-11-26 17:45:00+00:00,LEAGUE_STAGE,ŠK Slovan Bratislava,AC Milan,2,3,0,Slovakia,Italy
524033,2024-11-26 20:00:00+00:00,LEAGUE_STAGE,Sporting Clube de Portugal,Arsenal FC,1,5,0,Portugal,England
524037,2024-11-26 20:00:00+00:00,LEAGUE_STAGE,BSC Young Boys,Atalanta BC,1,6,0,Switzerland,Italy
523932,2024-11-26 20:00:00+00:00,LEAGUE_STAGE,FC Bayern München,Paris Saint-Germain FC,1,0,2,Germany,France
523943,2024-11-26 20:00:00+00:00,LEAGUE_STAGE,FC Barcelona,Stade Brestois 29,3,0,2,Spain,France
523948,2024-11-26 20:00:00+00:00,LEAGUE_STAGE,FC Internazionale Milano,RB Leipzig,1,0,2,Italy,Germany
